title,label,label_score
siswi smk bandung ditikam dekat sekolah karena tolak cinta pelaku,non-clickbait,0
jika tak kunjung penuhi panggilan veronica koman bakal jadi dpo,non-clickbait,0
pria misterius berjubah putih viral di sumut ingatkan tuhan murka,clickbait,1
polisi simpulkan bos sembako di cilegon tewas bunuh diri,non-clickbait,0
menengok pantai mustika banyuwangi,non-clickbait,0
asap pekat selimuti riau pemprov gelar salat minta hujan besok,non-clickbait,0
soal kontrak politik capim kpk fahri sebut agar taat undang undang,non-clickbait,0
caketum hipmi pengusaha ri harus punya jiwa nasionalisme yang kuat,non-clickbait,0
kpu solo ajukan dana rp 178 m untuk pilwalkot 2020,non-clickbait,0
utusan khusus presiden akan gelar munas tokoh antaragama,non-clickbait,0
panggil veronica koman polisi tunggu hingga dua pekan ke depan,non-clickbait,0
kpk tetapkan eks pejabat pertamina energy tersangka mafia migas,non-clickbait,0
dipeluk istri sebelum jalani sidang kivlan zen menangis,non-clickbait,0
video porno di sumedang disebar pemeran pria apa motifnya ,clickbait,1
icw jangan pertaruhkan kpk pak jokowi,non-clickbait,0
terungkap  video porno di sumedang diperankan pasangan selingkuh,clickbait,1
bocah di bekasi disebut tewas karena bully kpad imbau keluarga melapor,non-clickbait,0
jk soal revisi uu kpk penuntutan tak perlu koordinasi dengan jaksa agung,non-clickbait,0
komisi iii dpr pastikan tampung semua masukan soal capim kpk,non-clickbait,0
tokoh papua yang diundang jokowi eks timses istana kebetulan saja,non-clickbait,0
wagub jabar minta pekerja di lingkungan pemprov jabar daftar bpjs tk,non-clickbait,0
anak dan cucu berkumpul temani bj habibie di rspad gatot soebroto,non-clickbait,0
gara gara puntung rokok 28 hektare lahan di sulteng terbakar,non-clickbait,0
topan faxai hantam jepang 17000 penumpang telantar di bandara narita,non-clickbait,0
gajah mengamuk ketika ikut festival agama di sri lanka 18 terluka,non-clickbait,0
waduk pacal di bojonegoro surut lahan pertanian di 4 kecamatan kekeringan,non-clickbait,0
komisi iii dpr gelar rdpu tampung masukan soal seleksi capim kpk,non-clickbait,0
hut ke 70 brigif raider 13 ziarah ke makam bupati galuh ciamis,non-clickbait,0
pesan kpk ke jokowi pembangunan tak tercapai jika masih digerogoti korupsi,non-clickbait,0
40 perguruan tinggi muhammadiyah se indonesia tolak revisi uu kpk,non-clickbait,0
1904 pelanggar ditilang di hari perdana perluasan ganjil genap kemarin,non-clickbait,0
4 bulan lagi polrestabes surabaya punya tempat parkir bertingkat,non-clickbait,0
sepekan dilantik anggota dprd jabar gadai sk ke bank,non-clickbait,0
poyuono jelas pemerintah dpr revisi uu kpk agar mudah rampok uang negara,non-clickbait,0
ratusan mahasiswa surabaya dukung revisi uu kpk,non-clickbait,0
abraham samad jokowi harus minta dpr setop pembahasan revisi uu kpk,non-clickbait,0
satgas karhutla investigasi penyebab kebakaran kebun tebu ptpn vii ogan ilir,non-clickbait,0
fenomena anggota dewan gadaikan sk di dprd surabaya juga ada,non-clickbait,0
anies anggap perbaikan udara jakarta lewat ganjil genap tak bisa instan,non-clickbait,0
tepis kabar bully polisi sebut bocah meninggal di bekasi akibat tetanus,non-clickbait,0
tokoh papua bicara ke jokowi soal persaingan penduduk dan lingkungan,non-clickbait,0
kritik revisi uu kpk rektor ipb pemuka agama tolak pelemahan kpk,non-clickbait,0
menggalang pembiayaan ibu kota baru,non-clickbait,0
pasukan kostrad dikerahkan untuk tangkap pelaku karhutla di riau,non-clickbait,0
kendaraan listrik bebas dari aturan ganjil genap ini alasannya,clickbait,1
satu satunya korban selamat kecelakaan maut di nganjuk diciduk kasus narkoba,non-clickbait,0
home industry arak di sidoarjo digerebek dua orang diamankan,non-clickbait,0
jokowi ke papua lagi paling telat oktober resmikan jembatan holtekamp,non-clickbait,0
trump umumkan perundingan damai dengan taliban sudah mati,non-clickbait,0
menanti kebijakan gila jokowi,clickbait,1
jokowi janjikan 1000 sarjana papua bekerja di bumn perusahaan besar,non-clickbait,0
ibu bayi yang kaki tangannya putus di tangerang serahkan diri ke polisi,non-clickbait,0
melihat ke belakang pengusutan kpk soal mafia migas terkait petral,non-clickbait,0
banyuwangi dan perawat kolaborasi bikin sehat usaha wisata warga,non-clickbait,0
dua korban kecelakaan maut di nganjuk ternyata dpo kasus narkoba,non-clickbait,0
kabut asap bikin penerbangan di banjarmasin terganggu,non-clickbait,0
tokoh papua minta jokowi bangun istana presiden di papua,non-clickbait,0
jaksa kpk minta ma tolak pk novanto,non-clickbait,0
akhirnya  pemkot pekanbaru liburkan sd dan smp karena kabut asap,clickbait,1
tata cara umroh urutan dan bacaannya,non-clickbait,0
40 persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,non-clickbait,0
seputar kecelakaan maut di jalur nganjuk madiun yang tewaskan 3 orang,non-clickbait,0
pj walkot makassar sebut rilis edaran antisipasi syiah rekomendasi mui,non-clickbait,0
dipimpin ibas demokrat gelar pembekalan anggota legislatif 2019 2024,non-clickbait,0
jokowi tahun depan istana presiden di papua mulai dibangun,non-clickbait,0
jokowi undang tokoh papua ke istana hari ini,non-clickbait,0
china geram atas pernyataan menlu as soal perlakuan terhadap uighur,non-clickbait,0
oso soal revisi uu kpk tentunya kita tidak akan melemahkan,non-clickbait,0
154 pelanggar ditilang di jakbar alasannya tidak tahu ganjil genap,non-clickbait,0
gubernur khofifah gandeng isei kembangkan one pesantren one product,non-clickbait,0
sby jenguk bj habibie di rspad gatot soebroto,non-clickbait,0
hut ke 74 tni al akan terus tingkatkan sdm untuk indonesia maju,non-clickbait,0
buka luwur sunan kudus ribuan paket nasi berkat dibagikan,non-clickbait,0
pdip nilai pidato kontemplasi sby sejalan dengan ide jokowi,non-clickbait,0
2 ribu hektare lahan terbakar udara di palembang tidak sehat ,clickbait,1
pelemahan kpk dan masa depan demokrasi kita,non-clickbait,0
kpk panggil wakil ketua komisi xi terkait kasus anggota dpr f pan,non-clickbait,0
kabut asap pekat di riau tak ganggu penerbangan,non-clickbait,0
petugas cek pajak pelanggar ganjil genap hingga bagi bagi cokelat,non-clickbait,0
tim pelajar dki raih juara dua di olimpiade metropolis moskow,non-clickbait,0
status tersangka veronica koman disoal polri ada praperadilan,non-clickbait,0
viral bocah di bekasi disebut tewas akibat bully begini kata ketua rt,clickbait,1
pemkab ponorogo ajukan 531 formasi untuk cpns dan p3k,non-clickbait,0
masih ada yang tak tahu ganjil genap dishub sosialisasi sudah maksimal,non-clickbait,0
dishub dki perluasan ganjil genap tingkatkan pengguna sepeda motor,non-clickbait,0
anggota dprd banten ramai ramai gadai sk ini kata kemendagri,clickbait,1
asap karhutla tambah parah jarak pandang di riau 800 meter,non-clickbait,0
perluasan ganjil genap dishub volume lalu lintas turun signifikan,non-clickbait,0
aktor intelektual rusuh papua dicari satu satu,non-clickbait,0
kpk umumkan tersangka kasus mafia migas terkait petral siang ini,non-clickbait,0
puntung rokok pembalut bekas ada ratusan kilo sampah di pantai gold coast,non-clickbait,0
asap pekat kepung pekanbaru polantas bagikan masker ke pengendara,non-clickbait,0
santri di probolinggo sambut 10 muharam dengan pawai obor,non-clickbait,0
yuk bantu jokowi cari menteri ikuti polling di detikcom ,clickbait,1
beda 2 eks komisioner kpai soal polemik dengan pb djarum,non-clickbait,0
ratusan keluarga di queensland mengungsi hindari kebakaran yang kian memburuk,non-clickbait,0
penerapan tilang elektronik di busway ditargetkan oktober 2019,non-clickbait,0
dangdutan maut tewaskan 2 pria di bekasi 4 pelaku ditangkap,non-clickbait,0
jadi contoh tak baik pemotor serang pejalan kaki di trotoar minta maaf,non-clickbait,0
kebakaran gudang di penjaringan padam kerugian ditaksir rp 2 m,non-clickbait,0
atasi kabut asap dari indonesia malaysia rencanakan hujan buatan,non-clickbait,0
polisi bongkar perdagangan wanita di kepri korbannya dijadikan psk,non-clickbait,0
gegara potong kabel anies disomasi apjatel,non-clickbait,0
anggota baleg dpr revisi uu kpk seimbangkan pencegahan dan penindakan,non-clickbait,0
john chardon terbukti bersalah atas kematian istrinya novy,non-clickbait,0
kpai pengembangan bakat bulutangkis harus tetap jalan sesuai regulasi,non-clickbait,0
berharap tak mati kpk minta yasonna hati hati,non-clickbait,0
korut nyatakan siap bertemu as bahas denuklirisasi akhir september,non-clickbait,0
bmkg prediksi cuaca jakarta cerah hari ini,non-clickbait,0
polri akan teruskan pengajuan red notice veronica koman ke interpol,non-clickbait,0
sebut personel polres jakbar satpam ampg pro bamsoet akan dipolisikan,non-clickbait,0
asap pekat siswa sd di pekanbaru tetap sekolah,non-clickbait,0
petani blitar biarkan tomat membusuk karena harga anjlok,non-clickbait,0
dishub dki perluasan ganjil genap hari pertama perbaiki kualitas udara,non-clickbait,0
sby ajak rakyat dukung jokowi istana bentuk kesantunan politik,non-clickbait,0
hari asyura pemkot makassar rilis edaran antisipasi penyebaran syiah,non-clickbait,0
polisi periksa kadis tersangka pencium pipi staf saat selfie pekan ini,non-clickbait,0
bahas seleksi capim kpk komisi iii akan temui koalisi masyarakat sipil,non-clickbait,0
pabrik tiner di kalideres terbakar 15 mobil damkar dikerahkan,non-clickbait,0
sby ajak rakyat dukung jokowi ppp simpatik dan negarawan,non-clickbait,0
jenguk bj habibie sby batal buka pertemuan nasional fraksi demokrat,non-clickbait,0
kualitas udara makin buruk libur siswa sd di jambi diperpanjang,non-clickbait,0
curhat warga desa digital di sukabumi berburu sandi untuk wi fi gratis,non-clickbait,0
ada bus transj ditabrak mobil lalin menteng arah rasuna said macet,non-clickbait,0
pelanggar di jalur perluasan ganjil genap jakpus masih banyak,non-clickbait,0
besok polisi panggil ketum fpi terkait kasus dugaan makar,non-clickbait,0
anggota dprd banten ramai ramai gadai sk pimpinan itu ranah pribadi,non-clickbait,0
bupati bogor ingin pemprov dki ikut bantu tangani sampah di kalibaru,non-clickbait,0
polisi cek kebenaran kasus bocah di bekasi yang disebut tewas akibat bully,non-clickbait,0
ibas banggakan kinerja sby minta caleg terpilih demokrat jadikan contoh,non-clickbait,0
korut tembakkan proyektil tak dikenal usai tawarkan dialog dengan as,non-clickbait,0
airlangga tegaskan golkar bukan inisiator revisi uu kpk,non-clickbait,0
kabin budi gunawan buka pertemuan jokowi dan 61 tokoh papua di istana,non-clickbait,0
pemimpin hong kong ingatkan as jangan ikut campur soal aksi demo,non-clickbait,0
pj walkot makassar minta edaran antisipasi syiah disikapi dengan tenang,non-clickbait,0
ini 10 poin aspirasi tokoh papua saat bertemu jokowi di istana,clickbait,1
cerita jokowi 12 kali ke papua provinsi lain maksimal 3 kali,non-clickbait,0
dari mantan atlet artis hingga netizen ramai ramai bela pb djarum,non-clickbait,0
viral  perampok bercelurit satroni rumah makan gratis untuk duafa di bogor,clickbait,1
aspirasi tokoh papua pak jokowi generasi muda kami jangan dihukum,non-clickbait,0
air pdam 60 ribu warga mampet dampak pembangunan alun alun suroboyo,non-clickbait,0
menlu bicara pentingnya diplomasi digital untuk kerja sama ekonomi,non-clickbait,0
perhatian  ini nama nama kandidat menteri jokowi,clickbait,1
barang impor tanpa izin senilai rp 8 miliar dimusnahkan,non-clickbait,0
polres sumedang buru penyebar video porno pasangan dewasa,non-clickbait,0
kpu ungkap kendala 18 kpu daerah usulkan nphd pilkada,non-clickbait,0
polres bogor kejar perampok bercelurit di rumah makan gratis untuk duafa,non-clickbait,0
saat airlangga siswono bicara soal revisi uu kpk dan seleksi capim,non-clickbait,0
ketum fpi dipanggil terkait makar besok pengacara minta jadwal ulang,non-clickbait,0
kepala bppt doakan bj habibie eyang intelektual segera pulih,non-clickbait,0
hotel kafe rumah sakit di surabaya batasi air dampak pdam mampet,non-clickbait,0
ptun pemkot cimahi harus batalkan imb guest house di setra duta,non-clickbait,0
pimpinan bank bumn di purbalingga jadi tersangka kredit fiktif rp 28 m,non-clickbait,0
tokoh papua benny wenda tak berhak atur nkri,non-clickbait,0
kebakaran rumah di grobogan pria penderita stroke tewas terbakar,non-clickbait,0
lahan istana kepresidenan di papua segera disertifikatkan,non-clickbait,0
daripada kritik pb djarum kpai diminta fokus urus anak jalanan,non-clickbait,0
alasan anggota dprd banten gadaikan sk renovasi rumah bayar kuliah anak,non-clickbait,0
pengurus golkar protes perubahan prosedur rapat korbid,non-clickbait,0
pemkot bandung evaluasi program street library yang digagas ridwan kamil,non-clickbait,0
poyuono ajak rakyat kepung dpr istana tolak revisi uu kpk,non-clickbait,0
dishub dki uji coba ganjil genap 3 minggu kemarin kendaraan turun 25,non-clickbait,0
siap sekali jalani sidang kivlan zen ke pengadilan pakai kursi roda,non-clickbait,0
3 orang tewas dalam drama penembakan keluarga di belanda,non-clickbait,0
pasang status single inilah saat terakhir kehidupan novy chardon,clickbait,1
anggota dprd surabaya gadai sk ke bank ketua itu wajar,non-clickbait,0
laporan dicabut kasus mobil goyang di halaman pengadilan berakhir damai,non-clickbait,0
siswi smk bandung dilarikan ke rs gegara ditikam dekat sekolah,non-clickbait,0
sidang gugatan ikan koi mati saksi dari pln bicara ini,clickbait,1
putra bj habibie apa pun yang terjadi terbaik buat bapak saya,non-clickbait,0
puro pakualaman gelar upacara hajad dalem labuhan di pantai glagah,non-clickbait,0
permukaan air susut bekas desa di dasar waduk gajah mungkur muncul,non-clickbait,0
270 panwaslu telah usulkan nphd pilkada 2020,non-clickbait,0
pdip jatim buka pendaftaran pilkada hingga 14 september,non-clickbait,0
anggaran erp akan masuk apbd dki 2020,non-clickbait,0
dua kecelakaan di tol cipularang truk terbakar di km 91,non-clickbait,0
truk oleng di tanjakan emen satu penumpang tewas,non-clickbait,0
jk soal efek kpk pejabat bumn bukan lagi hati hati tapi sudah takut,non-clickbait,0
perampok di rm gratis untuk duafa di bogor sempat dikira mau minta makan,non-clickbait,0
jokowi diminta mekarkan wilayah papua wiranto masih masukan,non-clickbait,0
google dan pajak media digital asing,non-clickbait,0
ibas yudhoyono kpk tak boleh dilemahkan harus diperkuat ,non-clickbait,0
fenomena anggota dprd gadaikan sk ke bank gejala apa ini ,clickbait,1
kivlan zen didakwa kasus 4 senpi ilegal dan peluru tajam,non-clickbait,0
jaksa ungkap duit ratusan juta habil marati ke kivlan zen cs,non-clickbait,0
pesan habil marati soal duit senpi ke kivlan cs ini untuk bangsa tetap semangat,non-clickbait,0
kivlan zen sebut kaliber 22 buat tikus minta cari senpi baru sebelum pemilu,non-clickbait,0
tersangka mafia migas bikin penampung duit suap di british virgin island,non-clickbait,0
kasus mafia migas eks bos petral kpk sudah geledah 5 lokasi,non-clickbait,0
jk sebut jokowi segera kirim surat presiden ke dpr bahas revisi uu kpk,non-clickbait,0
puluhan rumah di bantaran bengawan solo terancam terbawa longsor,non-clickbait,0
ajukan eksepsi kivlan zen dakwaan tidak benar ,non-clickbait,0
di komisi iii dpr ipw cs dukung hasil pansel capim kpk,non-clickbait,0
wali kota cirebon minta instansi swasta pasang cctv untuk intai penjahat,non-clickbait,0
terdampak tol desari jalan tanah baru depok akan diperlebar tahun ini,non-clickbait,0
penyelundupan 74 ekor burung dilindungi berhasil digagalkan,non-clickbait,0
angka aman pemangkasan pph korporasi,non-clickbait,0
9 pasangan mesum di buleleng bali terciduk operasi yustisi,non-clickbait,0
seratusan karyawan pabrik boneka di sukabumi keracunan makanan,non-clickbait,0
banyuwangi raih penghargaan dari kemenkum ham,non-clickbait,0
polisi selidiki dari dan ke mana veronika koman alirkan dananya,non-clickbait,0
gubernur edy rahmayadi ingin sungai deli seperti di rusia,non-clickbait,0
pengakuan bos investasi bodong mojokerto yang rugikan korban hingga rp 7 m,non-clickbait,0
apa kabar denda rp 1 juta bagi pembeli di zona merah pkl bandung ,clickbait,1
sidang habil marati ditunda gara gara tak didampingi pengacara,non-clickbait,0
diminta jadwal ulang pemeriksaan polisi tunggu kehadiran ketum fpi besok,non-clickbait,0
garbi akan jadi partai gelora fahri hamzah ikut bergabung,non-clickbait,0
disebut ikut danai pembelian senpi kivlan habil marati semua fitnah,non-clickbait,0
jk soal banyaknya ott kpk kalau makin kurang itu prestasi,non-clickbait,0
anggota komisi iii dpr ngaku dilobi pendukung capim kpk tapi tak terima,non-clickbait,0
mengaku dihamili wanita asal blitar adukan kades ke polisi,non-clickbait,0
penyandang disabilitas ikut penjaringan bacabup bacawabup jember,non-clickbait,0
aksi mahasiswa uns peringati kematian munir jokowi tak serius,non-clickbait,0
fadli zon pastikan sandiaga akan gabung lagi ke gerindra,non-clickbait,0
kecelakaan maut di nganjuk tewaskan 3 orang 10 saksi diperiksa,non-clickbait,0
menteri lhk soal kabut asap di malaysia jangan bilang hanya dari indonesia,non-clickbait,0
munarman tak di kertanegara 17 april ketum fpi bingung dipanggil polisi,non-clickbait,0
warga wonogiri tewas terbakar saat bersihkan pekarangan,non-clickbait,0
dprd usul posisi wagub dki jakarta lebih dari satu orang,non-clickbait,0
polisi hari kedua ganjil genap di jl rs fatmawati pelanggaran turun,non-clickbait,0
ibu yang buang bayi mengenaskan di tangerang seorang mahasiswi,non-clickbait,0
bantah media malaysia bmkg tak ada asap karhutla lintasi kuala lumpur,non-clickbait,0
dipastikan gabung lagi ke gerindra sandiaga akan bicara dengan prabowo,non-clickbait,0
intelijen militer jerman perluas penyelidikan pengaruh ekstrem kanan,non-clickbait,0
diduga korban tabrak lari sati tewas di tol tb simatupang pagi tadi,non-clickbait,0
hinca sby minta kader pd pastikan pemerintahan jadi lebih baik,non-clickbait,0
putra bj habibie bapak tidak kritis sudah stabil dan perlu istirahat,non-clickbait,0
mobil crane ambruk timpa kapal di pelabuhan semarang,non-clickbait,0
geramnya keluarga pada hoax bj habibie meninggal dunia,clickbait,1
pria oknum pns diduga cabuli 4 gadis di bawah umur di sleman,non-clickbait,0
buka career expo gubernur khofifah kenalkan mobile training unit,non-clickbait,0
putra habibie bapak lemas karena beraktivitas terlalu banyak,non-clickbait,0
pelaku pelecehan seksual di krl diamankan di stasiun duren kalibata,non-clickbait,0
ketua dpr ingin penanganan papua lebih progresif,non-clickbait,0
eks gubernur aceh abdullah puteh divonis 15 tahun penjara kasus penipuan,non-clickbait,0
kasus dugaan penipuan rp 75 m eks ketua hipmi sultra ditangkap,non-clickbait,0
sandiaga bakal balikan dengan gerindra,non-clickbait,0
keluarga akan batasi kunjungan tamu jenguk bj habibie,non-clickbait,0
bermodal ganjil genap anies perangi polusi bertahap,non-clickbait,0
divonis 15 tahun bui eks gubernur aceh abdullah puteh banding,non-clickbait,0
air pdam mampet 4 hari risma kalau nggak gitu telkom bisa blackout,non-clickbait,0
latihan gabungan paskhas tni au terjun rebut bandara banyuwangi,non-clickbait,0
taman nasional gunung merbabu terus pantau kebakaran hutan,non-clickbait,0
ada kendala laa di stasiun klender krl jatinegara cakung terganggu,non-clickbait,0
pengacara tak hadir sidang 4 gugatan praperadilan kivlan zen ditunda,non-clickbait,0
gempa m 34 terjadi di palu,non-clickbait,0
mpr ikut ramaikan festival konstitusi dan anti korupsi di ugm,non-clickbait,0
pemkot parepare akan gelar zikir doakan kesembuhan bj habibie,non-clickbait,0
revisi uu kpk disebut bikin anggota dpr kebal hukum,non-clickbait,0
wagub jabar uu sesalkan ada penusukan santri di cirebon,non-clickbait,0
bayi mengenaskan di tangerang sempat dikubur ibunya sebelum dibuang,non-clickbait,0
kualitas udara kota jambi malam hari masuk kategori berbahaya,non-clickbait,0
pemprov dki danai pembangunan park and ride di bekasi 2020,non-clickbait,0
kpk respons tudingan zalim adik imam nahrawi ada 2 bukti kasus,non-clickbait,0
video detik detik mahasiswa merusak pagar dpr,clickbait,1
kpk dalami aliran duit suap eks menpora imam nahrawi,non-clickbait,0
pertamina kucurkan dana rp 625 juta atasi kebakaran di riau,non-clickbait,0
ini penyebab sulitnya padamkan kebakaran di gunung sumbing,clickbait,1
fit and proper test capim kpk lanjut giliran i nyoman wara diuji,non-clickbait,0
kasus jasmas di surabaya anggota dprd minta penyidikan yang objektif,non-clickbait,0
pertemuan bilateral awali kegiatan menlu di high level week sidang umum pbb,non-clickbait,0
malam malam sekdes tni cek gunung sampah di pinggir kali ciliwung cilebut,non-clickbait,0
stasiun mrt akan tampilkan ragam seni budaya indonesia,non-clickbait,0
menlu indonesia timor leste australia bertemu di pbb ini yang dibahas,clickbait,1
tangkap perusuh di slipi jakbar seorang polisi terluka dipukul massa,non-clickbait,0
ini lokasi diduga mahasiswa halu oleo kendari tertembak,clickbait,1
kapolrestabes medan jangan ada hoax tidak ada yang meninggal,non-clickbait,0
massa pro revisi uu demo di kpk pesertanya ikut apa kata korlap,non-clickbait,0
polisi prioritaskan perbaikan rumah warga yang rusak,non-clickbait,0
randi mahasiswa halu oleo tewas tertembak imm aksi tutup jl menteng raya,non-clickbait,0
uang rp 16 m raib 3 pejabat pemprov sumut dinonaktifkan,non-clickbait,0
massa aksi di depan kpk bubarkan diri,non-clickbait,0
berduka tgb kenang beasiswa habibie saat kuliah di kairo mesir,non-clickbait,0
minta pengesahan rkuhp ditunda pemerintah gunakan waktu untuk sosialisasi,non-clickbait,0
polri ungkap kronologi rusuh maut di jayapura aparat diserang lebih dulu,non-clickbait,0
petugas dishub laporkan aksi pemukulan driver ojol di senen ke polisi,non-clickbait,0
purnomo teguh daftar cawalkot solo peluang gibran tertutup ,clickbait,1
memanas mahasiswa penolak uu kpk baru rkuhp lempar botol dorong pagar,non-clickbait,0
rapat gabungan pimpinan mpr sepakat ubah tata tertib ini rinciannya,clickbait,1
belum ada pengelola pedagang hi tech mall hanya bayar listrik dan air,non-clickbait,0
rusuh wamena 16 orang warga tewas,non-clickbait,0
kordum gejayan memanggil bantah aksi ditunggangi kepentingan politik,non-clickbait,0
kpai minta polri kejar penyebar undangan pelajar untuk aksi ke dpr,non-clickbait,0
waria spesialis pembobol vila di bali dituntut 15 tahun penjara,non-clickbait,0
resah gelandangan bakal didenda anak punk demo di jalan gatot subroto,non-clickbait,0
jauhi pantai warga ngungsi ke dataran tinggi gegara gempa ambon,non-clickbait,0
warga riau terdakwa kasus narkoba divonis mati di pn medan,non-clickbait,0
polisi tetapkan 27 tersangka pembakar lahan di sumsel,non-clickbait,0
polres banyuwangi gelar expo untuk kendaraan warga yang hilang,non-clickbait,0
satu tewas seorang mahasiswa halu oleo kendari lainnya kritis,non-clickbait,0
gelombang demo se indonesia tolak uu kpk dan 4 ruu jokowi lempar ke dpr,non-clickbait,0
